Site	Key	rule	attribute_name	page_id	rule	attribute_name	page_id																														
www.fullcompass.com	5694-Blocks	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5695-Blu - Ray Recorders	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5696-Brushes	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5697-CD Player Accessories, Remotes	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5698-Cable Labels	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5699-Cards, Option for cameras	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5700-China Cymbals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5701-Chroma Key Controllers and Accessories	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5702-Clip - On / Miniature Mics and Acoustic Pickups	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5703-Compressors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5704-Computer Monitors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5705-DMX Cables	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5706-DVD Players	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5707-DVD for Video Discs	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5708-Delays	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5709-Distribution Amplifiers, Video Digital	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5710-Drum Hardware Packages	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5711-Drum Kits / Packs	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5712-Drum Machines	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5713-EQ and Filter Pedals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5714-Earbuds, Earsets, In - Ear Earphones	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5715-Effect Cymbals and Gongs	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5716-Electronic Drum Kits	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5717-Electronic Drum Monitors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5718-Emulator, Simulator, and Modeler Pedals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5719-Expanders, Gates	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5720-External Optical Drives	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5721-F Connectors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5722-F to F Adapters	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5723-Feedback Suppressors	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5724-Filters, Glass, Dichroic	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5725-Flash for Still Cameras	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5726-Floor Pockets, Stage Boxes, Table Top Boxes, Accessories	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5727-Gel String, Color Changer Gel	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5728-Groove Controllers and Sequencers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5729-Guitar Multi - Effect Pedals	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5730-Heat Guns, Shrink Tools	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5731-Installation, Electrical Instruction Books	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5732-Isolators, Hum Eliminators	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
www.fullcompass.com	5733-Lasers	//*[@id='ProductInfo']/p/text()	OUR PART #	TRUE																																	
