SITO	CHIAVE	PATH	LABEL	PAGE_ID	PATH_2	LABEL_2	PAGE_ID_2	PATH_3	LABEL_3	PAGE_ID_3	PATH_4	LABEL_4	PAGE_ID_4	PATH_5	LABEL_5	PAGE_ID_5	PATH_6	LABEL_6	PAGE_ID_6
www.frys.com	9849-Hard Drive Cables & Brackets	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9850-Health	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9851-Home Automation Adapters & Modules	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9852-Home Theater Networking	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9853-Home Theater Systems	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9854-LCD Monitors	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9855-MP3 / Video Players	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9856-Mac Accessories	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9857-Mac Notebook Accessories	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9858-Mac Pro	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9859-Microscopes & Magnifiers	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9860-Multimedia	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9861-Notebooks	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9862-Office & Business	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9863-Oral Care	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9864-Portable TV and Video	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9865-Powerline	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9866-Print Servers	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9867-Projector & TV Lamps	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9868-Projectors	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
www.frys.com	9869-Range Extenders	//li[contains(./text(),"UPC")]/text()	UPC	1	//li[contains(./text(),"Model")]/text()	Model	1												
